1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8A0000005BFBE521
Is Mission Active?  true
Mission Start:  Sat Aug 28 19:51:00 GMT+08:00 2021
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  2491
Total Samples:  2491
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
13/9/2021, 12:21:00 am,C,24.5
13/9/2021, 12:36:00 am,C,24.5
13/9/2021, 12:51:00 am,C,24.5
13/9/2021, 1:06:00 am,C,24.5
13/9/2021, 1:21:00 am,C,24.5
13/9/2021, 1:36:00 am,C,24
13/9/2021, 1:51:00 am,C,24
13/9/2021, 2:06:00 am,C,24
13/9/2021, 2:21:00 am,C,24
13/9/2021, 2:36:00 am,C,24
13/9/2021, 2:51:00 am,C,24
13/9/2021, 3:06:00 am,C,24
13/9/2021, 3:21:00 am,C,24
13/9/2021, 3:36:00 am,C,24
13/9/2021, 3:51:00 am,C,24
13/9/2021, 4:06:00 am,C,24.5
13/9/2021, 4:21:00 am,C,24.5
13/9/2021, 4:36:00 am,C,24.5
13/9/2021, 4:51:00 am,C,24.5
13/9/2021, 5:06:00 am,C,24.5
13/9/2021, 5:21:00 am,C,24.5
13/9/2021, 5:36:00 am,C,24.5
13/9/2021, 5:51:00 am,C,24.5
13/9/2021, 6:06:00 am,C,24.5
13/9/2021, 6:21:00 am,C,24.5
13/9/2021, 6:36:00 am,C,24.5
13/9/2021, 6:51:00 am,C,24.5
13/9/2021, 7:06:00 am,C,24.5
13/9/2021, 7:21:00 am,C,24.5
13/9/2021, 7:36:00 am,C,24.5
13/9/2021, 7:51:00 am,C,24.5
13/9/2021, 8:06:00 am,C,24.5
13/9/2021, 8:21:00 am,C,24.5
13/9/2021, 8:36:00 am,C,24.5
13/9/2021, 8:51:00 am,C,25
13/9/2021, 9:06:00 am,C,25
13/9/2021, 9:21:00 am,C,25
13/9/2021, 9:36:00 am,C,25
13/9/2021, 9:51:00 am,C,25
13/9/2021, 10:06:00 am,C,25
13/9/2021, 10:21:00 am,C,25.5
13/9/2021, 10:36:00 am,C,25.5
13/9/2021, 10:51:00 am,C,25.5
13/9/2021, 11:06:00 am,C,25.5
13/9/2021, 11:21:00 am,C,25.5
13/9/2021, 11:36:00 am,C,25.5
13/9/2021, 11:51:00 am,C,25.5
13/9/2021, 12:06:00 pm,C,25
13/9/2021, 12:21:00 pm,C,25
13/9/2021, 12:36:00 pm,C,25
13/9/2021, 12:51:00 pm,C,25
13/9/2021, 1:06:00 pm,C,25
13/9/2021, 1:21:00 pm,C,25
13/9/2021, 1:36:00 pm,C,25
13/9/2021, 1:51:00 pm,C,25.5
13/9/2021, 2:06:00 pm,C,25.5
13/9/2021, 2:21:00 pm,C,25.5
13/9/2021, 2:36:00 pm,C,25.5
13/9/2021, 2:51:00 pm,C,26
13/9/2021, 3:06:00 pm,C,26
13/9/2021, 3:21:00 pm,C,26
13/9/2021, 3:36:00 pm,C,26
13/9/2021, 3:51:00 pm,C,26
13/9/2021, 4:06:00 pm,C,26
13/9/2021, 4:21:00 pm,C,26
13/9/2021, 4:36:00 pm,C,25.5
13/9/2021, 4:51:00 pm,C,25.5
13/9/2021, 5:06:00 pm,C,25.5
13/9/2021, 5:21:00 pm,C,25.5
13/9/2021, 5:36:00 pm,C,25.5
13/9/2021, 5:51:00 pm,C,25.5
13/9/2021, 6:06:00 pm,C,25.5
13/9/2021, 6:21:00 pm,C,25.5
13/9/2021, 6:36:00 pm,C,25.5
13/9/2021, 6:51:00 pm,C,25
13/9/2021, 7:06:00 pm,C,25
13/9/2021, 7:21:00 pm,C,25
13/9/2021, 7:36:00 pm,C,25
13/9/2021, 7:51:00 pm,C,25
13/9/2021, 8:06:00 pm,C,25
13/9/2021, 8:21:00 pm,C,25
13/9/2021, 8:36:00 pm,C,25
13/9/2021, 8:51:00 pm,C,25
13/9/2021, 9:06:00 pm,C,25
13/9/2021, 9:21:00 pm,C,25
13/9/2021, 9:36:00 pm,C,25
13/9/2021, 9:51:00 pm,C,25
13/9/2021, 10:06:00 pm,C,25
13/9/2021, 10:21:00 pm,C,25
13/9/2021, 10:36:00 pm,C,25
13/9/2021, 10:51:00 pm,C,25
13/9/2021, 11:06:00 pm,C,25
13/9/2021, 11:21:00 pm,C,25
13/9/2021, 11:36:00 pm,C,25
13/9/2021, 11:51:00 pm,C,25
14/9/2021, 12:06:00 am,C,25
14/9/2021, 12:21:00 am,C,24.5
14/9/2021, 12:36:00 am,C,24.5
14/9/2021, 12:51:00 am,C,24.5
14/9/2021, 1:06:00 am,C,24.5
14/9/2021, 1:21:00 am,C,24.5
14/9/2021, 1:36:00 am,C,24.5
14/9/2021, 1:51:00 am,C,24.5
14/9/2021, 2:06:00 am,C,24.5
14/9/2021, 2:21:00 am,C,24.5
14/9/2021, 2:36:00 am,C,24.5
14/9/2021, 2:51:00 am,C,24.5
14/9/2021, 3:06:00 am,C,24.5
14/9/2021, 3:21:00 am,C,24
14/9/2021, 3:36:00 am,C,24
14/9/2021, 3:51:00 am,C,24
14/9/2021, 4:06:00 am,C,24
14/9/2021, 4:21:00 am,C,24
14/9/2021, 4:36:00 am,C,24
14/9/2021, 4:51:00 am,C,24
14/9/2021, 5:06:00 am,C,24
14/9/2021, 5:21:00 am,C,24
14/9/2021, 5:36:00 am,C,24
14/9/2021, 5:51:00 am,C,24
14/9/2021, 6:06:00 am,C,24
14/9/2021, 6:21:00 am,C,24
14/9/2021, 6:36:00 am,C,24
14/9/2021, 6:51:00 am,C,24
14/9/2021, 7:06:00 am,C,24
14/9/2021, 7:21:00 am,C,24
14/9/2021, 7:36:00 am,C,24
14/9/2021, 7:51:00 am,C,24
14/9/2021, 8:06:00 am,C,24
14/9/2021, 8:21:00 am,C,24
14/9/2021, 8:36:00 am,C,24.5
14/9/2021, 8:51:00 am,C,24.5
14/9/2021, 9:06:00 am,C,24.5
14/9/2021, 9:21:00 am,C,24.5
14/9/2021, 9:36:00 am,C,25
14/9/2021, 9:51:00 am,C,25
14/9/2021, 10:06:00 am,C,25
14/9/2021, 10:21:00 am,C,25
14/9/2021, 10:36:00 am,C,25
14/9/2021, 10:51:00 am,C,25
14/9/2021, 11:06:00 am,C,25
14/9/2021, 11:21:00 am,C,25
14/9/2021, 11:36:00 am,C,25
14/9/2021, 11:51:00 am,C,25.5
14/9/2021, 12:06:00 pm,C,25.5
14/9/2021, 12:21:00 pm,C,25.5
14/9/2021, 12:36:00 pm,C,25.5
14/9/2021, 12:51:00 pm,C,25.5
14/9/2021, 1:06:00 pm,C,26
14/9/2021, 1:21:00 pm,C,25.5
14/9/2021, 1:36:00 pm,C,25
14/9/2021, 1:51:00 pm,C,25
14/9/2021, 2:06:00 pm,C,24.5
14/9/2021, 2:21:00 pm,C,24.5
14/9/2021, 2:36:00 pm,C,24
14/9/2021, 2:51:00 pm,C,24
14/9/2021, 3:06:00 pm,C,24.5
14/9/2021, 3:21:00 pm,C,24.5
14/9/2021, 3:36:00 pm,C,24.5
14/9/2021, 3:51:00 pm,C,24.5
14/9/2021, 4:06:00 pm,C,24.5
14/9/2021, 4:21:00 pm,C,24.5
14/9/2021, 4:36:00 pm,C,24.5
14/9/2021, 4:51:00 pm,C,24.5
14/9/2021, 5:06:00 pm,C,24.5
14/9/2021, 5:21:00 pm,C,24.5
14/9/2021, 5:36:00 pm,C,24.5
14/9/2021, 5:51:00 pm,C,24
14/9/2021, 6:06:00 pm,C,24
14/9/2021, 6:21:00 pm,C,24
14/9/2021, 6:36:00 pm,C,24
14/9/2021, 6:51:00 pm,C,24
14/9/2021, 7:06:00 pm,C,24
14/9/2021, 7:21:00 pm,C,24
14/9/2021, 7:36:00 pm,C,23.5
14/9/2021, 7:51:00 pm,C,23.5
14/9/2021, 8:06:00 pm,C,23.5
14/9/2021, 8:21:00 pm,C,23.5
14/9/2021, 8:36:00 pm,C,23.5
14/9/2021, 8:51:00 pm,C,23.5
14/9/2021, 9:06:00 pm,C,23.5
14/9/2021, 9:21:00 pm,C,23.5
14/9/2021, 9:36:00 pm,C,23.5
14/9/2021, 9:51:00 pm,C,23.5
14/9/2021, 10:06:00 pm,C,23.5
14/9/2021, 10:21:00 pm,C,23.5
14/9/2021, 10:36:00 pm,C,23.5
14/9/2021, 10:51:00 pm,C,23.5
14/9/2021, 11:06:00 pm,C,23.5
14/9/2021, 11:21:00 pm,C,23.5
14/9/2021, 11:36:00 pm,C,23.5
14/9/2021, 11:51:00 pm,C,23.5
15/9/2021, 12:06:00 am,C,23.5
15/9/2021, 12:21:00 am,C,23.5
15/9/2021, 12:36:00 am,C,23.5
15/9/2021, 12:51:00 am,C,23.5
15/9/2021, 1:06:00 am,C,23
15/9/2021, 1:21:00 am,C,23
15/9/2021, 1:36:00 am,C,23
15/9/2021, 1:51:00 am,C,23
15/9/2021, 2:06:00 am,C,23
15/9/2021, 2:21:00 am,C,23
15/9/2021, 2:36:00 am,C,23
15/9/2021, 2:51:00 am,C,23
15/9/2021, 3:06:00 am,C,23
15/9/2021, 3:21:00 am,C,23.5
15/9/2021, 3:36:00 am,C,23.5
15/9/2021, 3:51:00 am,C,23.5
15/9/2021, 4:06:00 am,C,23.5
15/9/2021, 4:21:00 am,C,23.5
15/9/2021, 4:36:00 am,C,23.5
15/9/2021, 4:51:00 am,C,23.5
15/9/2021, 5:06:00 am,C,23.5
15/9/2021, 5:21:00 am,C,23.5
15/9/2021, 5:36:00 am,C,23.5
15/9/2021, 5:51:00 am,C,23.5
15/9/2021, 6:06:00 am,C,23.5
15/9/2021, 6:21:00 am,C,23.5
15/9/2021, 6:36:00 am,C,23.5
15/9/2021, 6:51:00 am,C,23.5
15/9/2021, 7:06:00 am,C,23.5
15/9/2021, 7:21:00 am,C,23.5
15/9/2021, 7:36:00 am,C,23.5
15/9/2021, 7:51:00 am,C,23.5
15/9/2021, 8:06:00 am,C,23.5
15/9/2021, 8:21:00 am,C,23.5
15/9/2021, 8:36:00 am,C,23.5
15/9/2021, 8:51:00 am,C,23.5
15/9/2021, 9:06:00 am,C,23.5
15/9/2021, 9:21:00 am,C,24
15/9/2021, 9:36:00 am,C,24
15/9/2021, 9:51:00 am,C,24
15/9/2021, 10:06:00 am,C,24.5
15/9/2021, 10:21:00 am,C,24.5
15/9/2021, 10:36:00 am,C,24.5
15/9/2021, 10:51:00 am,C,24.5
15/9/2021, 11:06:00 am,C,25
15/9/2021, 11:21:00 am,C,25
15/9/2021, 11:36:00 am,C,25
15/9/2021, 11:51:00 am,C,25
15/9/2021, 12:06:00 pm,C,25
15/9/2021, 12:21:00 pm,C,25
15/9/2021, 12:36:00 pm,C,25
15/9/2021, 12:51:00 pm,C,25
15/9/2021, 1:06:00 pm,C,25
15/9/2021, 1:21:00 pm,C,25
15/9/2021, 1:36:00 pm,C,25
15/9/2021, 1:51:00 pm,C,25
15/9/2021, 2:06:00 pm,C,25
15/9/2021, 2:21:00 pm,C,25
15/9/2021, 2:36:00 pm,C,25
15/9/2021, 2:51:00 pm,C,25
15/9/2021, 3:06:00 pm,C,25
15/9/2021, 3:21:00 pm,C,25
15/9/2021, 3:36:00 pm,C,25
15/9/2021, 3:51:00 pm,C,25
15/9/2021, 4:06:00 pm,C,25
15/9/2021, 4:21:00 pm,C,25
15/9/2021, 4:36:00 pm,C,25
15/9/2021, 4:51:00 pm,C,25
15/9/2021, 5:06:00 pm,C,25
15/9/2021, 5:21:00 pm,C,25
15/9/2021, 5:36:00 pm,C,25
15/9/2021, 5:51:00 pm,C,25
15/9/2021, 6:06:00 pm,C,24.5
15/9/2021, 6:21:00 pm,C,24.5
15/9/2021, 6:36:00 pm,C,24.5
15/9/2021, 6:51:00 pm,C,24.5
15/9/2021, 7:06:00 pm,C,24.5
15/9/2021, 7:21:00 pm,C,24.5
15/9/2021, 7:36:00 pm,C,24.5
15/9/2021, 7:51:00 pm,C,24.5
15/9/2021, 8:06:00 pm,C,24.5
15/9/2021, 8:21:00 pm,C,24.5
15/9/2021, 8:36:00 pm,C,24.5
15/9/2021, 8:51:00 pm,C,24.5
15/9/2021, 9:06:00 pm,C,24.5
15/9/2021, 9:21:00 pm,C,24.5
15/9/2021, 9:36:00 pm,C,24.5
15/9/2021, 9:51:00 pm,C,24.5
15/9/2021, 10:06:00 pm,C,24.5
15/9/2021, 10:21:00 pm,C,24.5
15/9/2021, 10:36:00 pm,C,24.5
15/9/2021, 10:51:00 pm,C,24.5
15/9/2021, 11:06:00 pm,C,24.5
15/9/2021, 11:21:00 pm,C,24.5
15/9/2021, 11:36:00 pm,C,24.5
15/9/2021, 11:51:00 pm,C,24.5
16/9/2021, 12:06:00 am,C,24.5
16/9/2021, 12:21:00 am,C,24.5
16/9/2021, 12:36:00 am,C,24.5
16/9/2021, 12:51:00 am,C,24.5
16/9/2021, 1:06:00 am,C,24.5
16/9/2021, 1:21:00 am,C,24.5
16/9/2021, 1:36:00 am,C,24.5
16/9/2021, 1:51:00 am,C,24.5
16/9/2021, 2:06:00 am,C,24.5
16/9/2021, 2:21:00 am,C,24.5
16/9/2021, 2:36:00 am,C,24.5
16/9/2021, 2:51:00 am,C,24.5
16/9/2021, 3:06:00 am,C,24.5
16/9/2021, 3:21:00 am,C,24.5
16/9/2021, 3:36:00 am,C,24.5
16/9/2021, 3:51:00 am,C,24.5
16/9/2021, 4:06:00 am,C,24.5
16/9/2021, 4:21:00 am,C,24.5
16/9/2021, 4:36:00 am,C,24
16/9/2021, 4:51:00 am,C,24
16/9/2021, 5:06:00 am,C,24.5
16/9/2021, 5:21:00 am,C,24
16/9/2021, 5:36:00 am,C,24
16/9/2021, 5:51:00 am,C,24.5
16/9/2021, 6:06:00 am,C,24
16/9/2021, 6:21:00 am,C,24
16/9/2021, 6:36:00 am,C,24
16/9/2021, 6:51:00 am,C,24
16/9/2021, 7:06:00 am,C,24.5
16/9/2021, 7:21:00 am,C,24.5
16/9/2021, 7:36:00 am,C,24.5
16/9/2021, 7:51:00 am,C,24.5
16/9/2021, 8:06:00 am,C,24.5
16/9/2021, 8:21:00 am,C,24.5
16/9/2021, 8:36:00 am,C,24.5
16/9/2021, 8:51:00 am,C,24.5
16/9/2021, 9:06:00 am,C,25
16/9/2021, 9:21:00 am,C,24.5
16/9/2021, 9:36:00 am,C,25
16/9/2021, 9:51:00 am,C,25
16/9/2021, 10:06:00 am,C,25
16/9/2021, 10:21:00 am,C,25
16/9/2021, 10:36:00 am,C,25
16/9/2021, 10:51:00 am,C,25
16/9/2021, 11:06:00 am,C,25.5
16/9/2021, 11:21:00 am,C,25.5
16/9/2021, 11:36:00 am,C,25.5
16/9/2021, 11:51:00 am,C,25.5
16/9/2021, 12:06:00 pm,C,25
16/9/2021, 12:21:00 pm,C,25.5
16/9/2021, 12:36:00 pm,C,25.5
16/9/2021, 12:51:00 pm,C,25.5
16/9/2021, 1:06:00 pm,C,25.5
16/9/2021, 1:21:00 pm,C,25.5
16/9/2021, 1:36:00 pm,C,25
16/9/2021, 1:51:00 pm,C,25
16/9/2021, 2:06:00 pm,C,25
16/9/2021, 2:21:00 pm,C,25
16/9/2021, 2:36:00 pm,C,25
16/9/2021, 2:51:00 pm,C,24.5
16/9/2021, 3:06:00 pm,C,24.5
16/9/2021, 3:21:00 pm,C,24.5
16/9/2021, 3:36:00 pm,C,24.5
16/9/2021, 3:51:00 pm,C,25
16/9/2021, 4:06:00 pm,C,25
16/9/2021, 4:21:00 pm,C,25
16/9/2021, 4:36:00 pm,C,25
16/9/2021, 4:51:00 pm,C,25
16/9/2021, 5:06:00 pm,C,25
16/9/2021, 5:21:00 pm,C,25
16/9/2021, 5:36:00 pm,C,24.5
16/9/2021, 5:51:00 pm,C,24
16/9/2021, 6:06:00 pm,C,23.5
16/9/2021, 6:21:00 pm,C,23.5
16/9/2021, 6:36:00 pm,C,23
16/9/2021, 6:51:00 pm,C,23
16/9/2021, 7:06:00 pm,C,23
16/9/2021, 7:21:00 pm,C,23
16/9/2021, 7:36:00 pm,C,22.5
16/9/2021, 7:51:00 pm,C,23
16/9/2021, 8:06:00 pm,C,22.5
16/9/2021, 8:21:00 pm,C,22.5
16/9/2021, 8:36:00 pm,C,22.5
16/9/2021, 8:51:00 pm,C,22.5
16/9/2021, 9:06:00 pm,C,22.5
16/9/2021, 9:21:00 pm,C,22.5
16/9/2021, 9:36:00 pm,C,22.5
16/9/2021, 9:51:00 pm,C,22.5
16/9/2021, 10:06:00 pm,C,22.5
16/9/2021, 10:21:00 pm,C,22.5
16/9/2021, 10:36:00 pm,C,22.5
16/9/2021, 10:51:00 pm,C,22.5
16/9/2021, 11:06:00 pm,C,22.5
16/9/2021, 11:21:00 pm,C,22.5
16/9/2021, 11:36:00 pm,C,22.5
16/9/2021, 11:51:00 pm,C,22.5
17/9/2021, 12:06:00 am,C,22.5
17/9/2021, 12:21:00 am,C,23
17/9/2021, 12:36:00 am,C,23
17/9/2021, 12:51:00 am,C,23
17/9/2021, 1:06:00 am,C,23
17/9/2021, 1:21:00 am,C,23
17/9/2021, 1:36:00 am,C,23
17/9/2021, 1:51:00 am,C,23
17/9/2021, 2:06:00 am,C,23
17/9/2021, 2:21:00 am,C,23
17/9/2021, 2:36:00 am,C,23
17/9/2021, 2:51:00 am,C,23
17/9/2021, 3:06:00 am,C,23
17/9/2021, 3:21:00 am,C,23
17/9/2021, 3:36:00 am,C,23
17/9/2021, 3:51:00 am,C,23
17/9/2021, 4:06:00 am,C,23
17/9/2021, 4:21:00 am,C,23
17/9/2021, 4:36:00 am,C,23
17/9/2021, 4:51:00 am,C,23
17/9/2021, 5:06:00 am,C,23
17/9/2021, 5:21:00 am,C,23
17/9/2021, 5:36:00 am,C,23
17/9/2021, 5:51:00 am,C,23
17/9/2021, 6:06:00 am,C,23
17/9/2021, 6:21:00 am,C,23
17/9/2021, 6:36:00 am,C,23
17/9/2021, 6:51:00 am,C,23
17/9/2021, 7:06:00 am,C,23
17/9/2021, 7:21:00 am,C,23
17/9/2021, 7:36:00 am,C,23
17/9/2021, 7:51:00 am,C,23
17/9/2021, 8:06:00 am,C,23.5
17/9/2021, 8:21:00 am,C,23.5
17/9/2021, 8:36:00 am,C,23.5
17/9/2021, 8:51:00 am,C,23.5
17/9/2021, 9:06:00 am,C,24
17/9/2021, 9:21:00 am,C,24
17/9/2021, 9:36:00 am,C,24
17/9/2021, 9:51:00 am,C,24
17/9/2021, 10:06:00 am,C,24.5
17/9/2021, 10:21:00 am,C,24.5
17/9/2021, 10:36:00 am,C,24.5
17/9/2021, 10:51:00 am,C,24.5
17/9/2021, 11:06:00 am,C,25
17/9/2021, 11:21:00 am,C,24.5
17/9/2021, 11:36:00 am,C,24.5
17/9/2021, 11:51:00 am,C,24.5
17/9/2021, 12:06:00 pm,C,24
17/9/2021, 12:21:00 pm,C,23.5
17/9/2021, 12:36:00 pm,C,23.5
17/9/2021, 12:51:00 pm,C,23.5
17/9/2021, 1:06:00 pm,C,23.5
17/9/2021, 1:21:00 pm,C,23.5
17/9/2021, 1:36:00 pm,C,24
17/9/2021, 1:51:00 pm,C,24
17/9/2021, 2:06:00 pm,C,24.5
17/9/2021, 2:21:00 pm,C,25
17/9/2021, 2:36:00 pm,C,24.5
17/9/2021, 2:51:00 pm,C,24.5
17/9/2021, 3:06:00 pm,C,24.5
17/9/2021, 3:21:00 pm,C,24.5
17/9/2021, 3:36:00 pm,C,24.5
17/9/2021, 3:51:00 pm,C,24.5
17/9/2021, 4:06:00 pm,C,24.5
17/9/2021, 4:21:00 pm,C,24.5
17/9/2021, 4:36:00 pm,C,24.5
17/9/2021, 4:51:00 pm,C,24.5
17/9/2021, 5:06:00 pm,C,24.5
17/9/2021, 5:21:00 pm,C,24.5
17/9/2021, 5:36:00 pm,C,24.5
17/9/2021, 5:51:00 pm,C,24.5
17/9/2021, 6:06:00 pm,C,24.5
17/9/2021, 6:21:00 pm,C,24
17/9/2021, 6:36:00 pm,C,24
17/9/2021, 6:51:00 pm,C,24
17/9/2021, 7:06:00 pm,C,24
17/9/2021, 7:21:00 pm,C,24
17/9/2021, 7:36:00 pm,C,24
17/9/2021, 7:51:00 pm,C,24
17/9/2021, 8:06:00 pm,C,24
17/9/2021, 8:21:00 pm,C,24
17/9/2021, 8:36:00 pm,C,24
17/9/2021, 8:51:00 pm,C,24
17/9/2021, 9:06:00 pm,C,24
17/9/2021, 9:21:00 pm,C,24
17/9/2021, 9:36:00 pm,C,24
17/9/2021, 9:51:00 pm,C,24
17/9/2021, 10:06:00 pm,C,24
17/9/2021, 10:21:00 pm,C,24
17/9/2021, 10:36:00 pm,C,24
17/9/2021, 10:51:00 pm,C,24
17/9/2021, 11:06:00 pm,C,24
17/9/2021, 11:21:00 pm,C,24
17/9/2021, 11:36:00 pm,C,23.5
17/9/2021, 11:51:00 pm,C,23.5
18/9/2021, 12:06:00 am,C,23.5
18/9/2021, 12:21:00 am,C,23.5
18/9/2021, 12:36:00 am,C,23.5
18/9/2021, 12:51:00 am,C,23.5
18/9/2021, 1:06:00 am,C,23.5
18/9/2021, 1:21:00 am,C,23.5
18/9/2021, 1:36:00 am,C,23.5
18/9/2021, 1:51:00 am,C,23.5
18/9/2021, 2:06:00 am,C,23.5
18/9/2021, 2:21:00 am,C,23.5
18/9/2021, 2:36:00 am,C,23.5
18/9/2021, 2:51:00 am,C,23.5
18/9/2021, 3:06:00 am,C,23.5
18/9/2021, 3:21:00 am,C,23.5
18/9/2021, 3:36:00 am,C,23.5
18/9/2021, 3:51:00 am,C,23.5
18/9/2021, 4:06:00 am,C,23.5
18/9/2021, 4:21:00 am,C,23.5
18/9/2021, 4:36:00 am,C,23.5
18/9/2021, 4:51:00 am,C,23.5
18/9/2021, 5:06:00 am,C,23.5
18/9/2021, 5:21:00 am,C,23.5
18/9/2021, 5:36:00 am,C,23.5
18/9/2021, 5:51:00 am,C,23.5
18/9/2021, 6:06:00 am,C,23.5
18/9/2021, 6:21:00 am,C,23.5
18/9/2021, 6:36:00 am,C,23.5
18/9/2021, 6:51:00 am,C,23.5
18/9/2021, 7:06:00 am,C,23.5
18/9/2021, 7:21:00 am,C,23.5
18/9/2021, 7:36:00 am,C,23.5
18/9/2021, 7:51:00 am,C,24
18/9/2021, 8:06:00 am,C,24
18/9/2021, 8:21:00 am,C,24
18/9/2021, 8:36:00 am,C,24
18/9/2021, 8:51:00 am,C,24
18/9/2021, 9:06:00 am,C,24
18/9/2021, 9:21:00 am,C,24
18/9/2021, 9:36:00 am,C,24
18/9/2021, 9:51:00 am,C,24
18/9/2021, 10:06:00 am,C,24
18/9/2021, 10:21:00 am,C,24
18/9/2021, 10:36:00 am,C,24
18/9/2021, 10:51:00 am,C,24
18/9/2021, 11:06:00 am,C,24.5
18/9/2021, 11:21:00 am,C,24.5
18/9/2021, 11:36:00 am,C,24.5
18/9/2021, 11:51:00 am,C,24.5
18/9/2021, 12:06:00 pm,C,25
18/9/2021, 12:21:00 pm,C,25
18/9/2021, 12:36:00 pm,C,25
18/9/2021, 12:51:00 pm,C,25
18/9/2021, 1:06:00 pm,C,25
18/9/2021, 1:21:00 pm,C,25.5
18/9/2021, 1:36:00 pm,C,25.5
18/9/2021, 1:51:00 pm,C,25.5
18/9/2021, 2:06:00 pm,C,25.5
18/9/2021, 2:21:00 pm,C,26
18/9/2021, 2:36:00 pm,C,25.5
18/9/2021, 2:51:00 pm,C,25.5
18/9/2021, 3:06:00 pm,C,25
18/9/2021, 3:21:00 pm,C,25
18/9/2021, 3:36:00 pm,C,25
18/9/2021, 3:51:00 pm,C,25
18/9/2021, 4:06:00 pm,C,25
18/9/2021, 4:21:00 pm,C,25
18/9/2021, 4:36:00 pm,C,24.5
18/9/2021, 4:51:00 pm,C,24.5
18/9/2021, 5:06:00 pm,C,24.5
18/9/2021, 5:21:00 pm,C,24.5
18/9/2021, 5:36:00 pm,C,24.5
18/9/2021, 5:51:00 pm,C,24.5
18/9/2021, 6:06:00 pm,C,24.5
18/9/2021, 6:21:00 pm,C,24.5
18/9/2021, 6:36:00 pm,C,24
18/9/2021, 6:51:00 pm,C,24
18/9/2021, 7:06:00 pm,C,24
18/9/2021, 7:21:00 pm,C,24
18/9/2021, 7:36:00 pm,C,24
18/9/2021, 7:51:00 pm,C,24
18/9/2021, 8:06:00 pm,C,24
18/9/2021, 8:21:00 pm,C,24
18/9/2021, 8:36:00 pm,C,24
18/9/2021, 8:51:00 pm,C,24.5
18/9/2021, 9:06:00 pm,C,24.5
18/9/2021, 9:21:00 pm,C,24
18/9/2021, 9:36:00 pm,C,24.5
18/9/2021, 9:51:00 pm,C,24
18/9/2021, 10:06:00 pm,C,24
18/9/2021, 10:21:00 pm,C,24
18/9/2021, 10:36:00 pm,C,24
18/9/2021, 10:51:00 pm,C,24
18/9/2021, 11:06:00 pm,C,24
18/9/2021, 11:21:00 pm,C,24
18/9/2021, 11:36:00 pm,C,24
18/9/2021, 11:51:00 pm,C,24
19/9/2021, 12:06:00 am,C,24
19/9/2021, 12:21:00 am,C,24
19/9/2021, 12:36:00 am,C,24
19/9/2021, 12:51:00 am,C,24
19/9/2021, 1:06:00 am,C,24
19/9/2021, 1:21:00 am,C,24
19/9/2021, 1:36:00 am,C,24
19/9/2021, 1:51:00 am,C,24
19/9/2021, 2:06:00 am,C,24
19/9/2021, 2:21:00 am,C,24
19/9/2021, 2:36:00 am,C,24
19/9/2021, 2:51:00 am,C,24
19/9/2021, 3:06:00 am,C,24
19/9/2021, 3:21:00 am,C,24
19/9/2021, 3:36:00 am,C,24
