1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A50000005C341C21
Is Mission Active?  true
Mission Start:  Thu Jun 02 17:48:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  3083
Total Samples:  8270
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/6/2022, 9:03:00 am,C,20.5
9/6/2022, 9:18:00 am,C,20.5
9/6/2022, 9:33:00 am,C,20.5
9/6/2022, 9:48:00 am,C,20.5
9/6/2022, 10:03:00 am,C,20.5
9/6/2022, 10:18:00 am,C,21
9/6/2022, 10:33:00 am,C,21
9/6/2022, 10:48:00 am,C,21
9/6/2022, 11:03:00 am,C,20.5
9/6/2022, 11:18:00 am,C,20.5
9/6/2022, 11:33:00 am,C,20.5
9/6/2022, 11:48:00 am,C,20.5
9/6/2022, 12:03:00 pm,C,20.5
9/6/2022, 12:18:00 pm,C,20.5
9/6/2022, 12:33:00 pm,C,20.5
9/6/2022, 12:48:00 pm,C,20.5
9/6/2022, 1:03:00 pm,C,20.5
9/6/2022, 1:18:00 pm,C,20.5
9/6/2022, 1:33:00 pm,C,20.5
9/6/2022, 1:48:00 pm,C,20.5
9/6/2022, 2:03:00 pm,C,20.5
9/6/2022, 2:18:00 pm,C,21
9/6/2022, 2:33:00 pm,C,20.5
9/6/2022, 2:48:00 pm,C,20.5
9/6/2022, 3:03:00 pm,C,20.5
9/6/2022, 3:18:00 pm,C,20.5
9/6/2022, 3:33:00 pm,C,20.5
9/6/2022, 3:48:00 pm,C,20.5
9/6/2022, 4:03:00 pm,C,20.5
9/6/2022, 4:18:00 pm,C,20.5
9/6/2022, 4:33:00 pm,C,20.5
9/6/2022, 4:48:00 pm,C,20.5
9/6/2022, 5:03:00 pm,C,20.5
9/6/2022, 5:18:00 pm,C,20.5
9/6/2022, 5:33:00 pm,C,20.5
9/6/2022, 5:48:00 pm,C,20.5
9/6/2022, 6:03:00 pm,C,20.5
9/6/2022, 6:18:00 pm,C,20.5
9/6/2022, 6:33:00 pm,C,20.5
9/6/2022, 6:48:00 pm,C,20.5
9/6/2022, 7:03:00 pm,C,20.5
9/6/2022, 7:18:00 pm,C,20.5
9/6/2022, 7:33:00 pm,C,20.5
9/6/2022, 7:48:00 pm,C,20.5
9/6/2022, 8:03:00 pm,C,20.5
9/6/2022, 8:18:00 pm,C,20.5
9/6/2022, 8:33:00 pm,C,20.5
9/6/2022, 8:48:00 pm,C,20.5
9/6/2022, 9:03:00 pm,C,20.5
9/6/2022, 9:18:00 pm,C,20.5
9/6/2022, 9:33:00 pm,C,20.5
9/6/2022, 9:48:00 pm,C,20.5
9/6/2022, 10:03:00 pm,C,20.5
9/6/2022, 10:18:00 pm,C,20.5
9/6/2022, 10:33:00 pm,C,20.5
9/6/2022, 10:48:00 pm,C,20.5
9/6/2022, 11:03:00 pm,C,20.5
9/6/2022, 11:18:00 pm,C,20.5
9/6/2022, 11:33:00 pm,C,20.5
9/6/2022, 11:48:00 pm,C,20.5
10/6/2022, 12:03:00 am,C,20.5
10/6/2022, 12:18:00 am,C,20.5
10/6/2022, 12:33:00 am,C,20.5
10/6/2022, 12:48:00 am,C,20.5
10/6/2022, 1:03:00 am,C,20.5
10/6/2022, 1:18:00 am,C,20.5
10/6/2022, 1:33:00 am,C,20.5
10/6/2022, 1:48:00 am,C,20.5
10/6/2022, 2:03:00 am,C,20.5
10/6/2022, 2:18:00 am,C,20.5
10/6/2022, 2:33:00 am,C,20.5
10/6/2022, 2:48:00 am,C,20.5
10/6/2022, 3:03:00 am,C,20.5
10/6/2022, 3:18:00 am,C,20.5
10/6/2022, 3:33:00 am,C,20.5
10/6/2022, 3:48:00 am,C,20.5
10/6/2022, 4:03:00 am,C,20.5
10/6/2022, 4:18:00 am,C,20.5
10/6/2022, 4:33:00 am,C,20.5
10/6/2022, 4:48:00 am,C,20.5
10/6/2022, 5:03:00 am,C,20.5
10/6/2022, 5:18:00 am,C,20.5
10/6/2022, 5:33:00 am,C,20.5
10/6/2022, 5:48:00 am,C,20.5
10/6/2022, 6:03:00 am,C,20.5
10/6/2022, 6:18:00 am,C,20.5
10/6/2022, 6:33:00 am,C,20.5
10/6/2022, 6:48:00 am,C,20.5
10/6/2022, 7:03:00 am,C,20.5
10/6/2022, 7:18:00 am,C,20.5
10/6/2022, 7:33:00 am,C,20.5
10/6/2022, 7:48:00 am,C,20.5
10/6/2022, 8:03:00 am,C,20.5
10/6/2022, 8:18:00 am,C,20.5
10/6/2022, 8:33:00 am,C,20.5
10/6/2022, 8:48:00 am,C,20.5
10/6/2022, 9:03:00 am,C,20.5
10/6/2022, 9:18:00 am,C,20.5
10/6/2022, 9:33:00 am,C,20.5
10/6/2022, 9:48:00 am,C,20.5
10/6/2022, 10:03:00 am,C,20.5
10/6/2022, 10:18:00 am,C,20.5
10/6/2022, 10:33:00 am,C,20.5
10/6/2022, 10:48:00 am,C,20.5
10/6/2022, 11:03:00 am,C,20.5
10/6/2022, 11:18:00 am,C,20.5
10/6/2022, 11:33:00 am,C,20.5
10/6/2022, 11:48:00 am,C,20.5
10/6/2022, 12:03:00 pm,C,20.5
10/6/2022, 12:18:00 pm,C,20.5
10/6/2022, 12:33:00 pm,C,20.5
10/6/2022, 12:48:00 pm,C,20.5
10/6/2022, 1:03:00 pm,C,20.5
10/6/2022, 1:18:00 pm,C,20.5
10/6/2022, 1:33:00 pm,C,20.5
10/6/2022, 1:48:00 pm,C,20.5
10/6/2022, 2:03:00 pm,C,20.5
10/6/2022, 2:18:00 pm,C,20.5
10/6/2022, 2:33:00 pm,C,21
10/6/2022, 2:48:00 pm,C,20.5
10/6/2022, 3:03:00 pm,C,20.5
10/6/2022, 3:18:00 pm,C,20.5
10/6/2022, 3:33:00 pm,C,20.5
10/6/2022, 3:48:00 pm,C,20.5
10/6/2022, 4:03:00 pm,C,20.5
10/6/2022, 4:18:00 pm,C,20.5
10/6/2022, 4:33:00 pm,C,20.5
10/6/2022, 4:48:00 pm,C,20.5
10/6/2022, 5:03:00 pm,C,20.5
10/6/2022, 5:18:00 pm,C,20.5
10/6/2022, 5:33:00 pm,C,20.5
10/6/2022, 5:48:00 pm,C,20.5
10/6/2022, 6:03:00 pm,C,20.5
10/6/2022, 6:18:00 pm,C,20.5
10/6/2022, 6:33:00 pm,C,20.5
10/6/2022, 6:48:00 pm,C,20.5
10/6/2022, 7:03:00 pm,C,20.5
10/6/2022, 7:18:00 pm,C,20.5
10/6/2022, 7:33:00 pm,C,20.5
10/6/2022, 7:48:00 pm,C,20.5
10/6/2022, 8:03:00 pm,C,20.5
10/6/2022, 8:18:00 pm,C,20.5
10/6/2022, 8:33:00 pm,C,20.5
10/6/2022, 8:48:00 pm,C,20.5
10/6/2022, 9:03:00 pm,C,20.5
10/6/2022, 9:18:00 pm,C,20.5
10/6/2022, 9:33:00 pm,C,20.5
10/6/2022, 9:48:00 pm,C,20.5
10/6/2022, 10:03:00 pm,C,20.5
10/6/2022, 10:18:00 pm,C,20.5
10/6/2022, 10:33:00 pm,C,20.5
10/6/2022, 10:48:00 pm,C,20.5
10/6/2022, 11:03:00 pm,C,20.5
10/6/2022, 11:18:00 pm,C,20.5
10/6/2022, 11:33:00 pm,C,20.5
10/6/2022, 11:48:00 pm,C,20.5
11/6/2022, 12:03:00 am,C,20.5
11/6/2022, 12:18:00 am,C,20.5
11/6/2022, 12:33:00 am,C,20.5
11/6/2022, 12:48:00 am,C,20.5
11/6/2022, 1:03:00 am,C,20.5
11/6/2022, 1:18:00 am,C,20.5
11/6/2022, 1:33:00 am,C,20.5
11/6/2022, 1:48:00 am,C,20.5
11/6/2022, 2:03:00 am,C,20.5
11/6/2022, 2:18:00 am,C,20.5
11/6/2022, 2:33:00 am,C,20.5
11/6/2022, 2:48:00 am,C,20.5
11/6/2022, 3:03:00 am,C,20.5
11/6/2022, 3:18:00 am,C,20.5
11/6/2022, 3:33:00 am,C,20.5
11/6/2022, 3:48:00 am,C,20.5
11/6/2022, 4:03:00 am,C,20.5
11/6/2022, 4:18:00 am,C,20.5
11/6/2022, 4:33:00 am,C,20.5
11/6/2022, 4:48:00 am,C,20.5
11/6/2022, 5:03:00 am,C,20.5
11/6/2022, 5:18:00 am,C,20.5
11/6/2022, 5:33:00 am,C,20.5
11/6/2022, 5:48:00 am,C,20.5
11/6/2022, 6:03:00 am,C,20.5
11/6/2022, 6:18:00 am,C,20.5
11/6/2022, 6:33:00 am,C,20.5
11/6/2022, 6:48:00 am,C,20.5
11/6/2022, 7:03:00 am,C,20.5
11/6/2022, 7:18:00 am,C,21
11/6/2022, 7:33:00 am,C,21
11/6/2022, 7:48:00 am,C,21
11/6/2022, 8:03:00 am,C,20.5
11/6/2022, 8:18:00 am,C,20.5
11/6/2022, 8:33:00 am,C,20.5
11/6/2022, 8:48:00 am,C,20.5
11/6/2022, 9:03:00 am,C,20.5
11/6/2022, 9:18:00 am,C,20.5
11/6/2022, 9:33:00 am,C,20.5
11/6/2022, 9:48:00 am,C,20.5
11/6/2022, 10:03:00 am,C,20.5
11/6/2022, 10:18:00 am,C,20.5
11/6/2022, 10:33:00 am,C,20.5
11/6/2022, 10:48:00 am,C,20.5
11/6/2022, 11:03:00 am,C,20.5
11/6/2022, 11:18:00 am,C,20.5
11/6/2022, 11:33:00 am,C,20.5
11/6/2022, 11:48:00 am,C,21
11/6/2022, 12:03:00 pm,C,21
11/6/2022, 12:18:00 pm,C,21
11/6/2022, 12:33:00 pm,C,21
11/6/2022, 12:48:00 pm,C,21
11/6/2022, 1:03:00 pm,C,21
11/6/2022, 1:18:00 pm,C,21
11/6/2022, 1:33:00 pm,C,21
11/6/2022, 1:48:00 pm,C,21
11/6/2022, 2:03:00 pm,C,21
11/6/2022, 2:18:00 pm,C,22
11/6/2022, 2:33:00 pm,C,22
11/6/2022, 2:48:00 pm,C,22
11/6/2022, 3:03:00 pm,C,21.5
11/6/2022, 3:18:00 pm,C,21.5
11/6/2022, 3:33:00 pm,C,21.5
11/6/2022, 3:48:00 pm,C,21.5
11/6/2022, 4:03:00 pm,C,21
11/6/2022, 4:18:00 pm,C,21
11/6/2022, 4:33:00 pm,C,21
11/6/2022, 4:48:00 pm,C,21
11/6/2022, 5:03:00 pm,C,21
11/6/2022, 5:18:00 pm,C,21
11/6/2022, 5:33:00 pm,C,20.5
11/6/2022, 5:48:00 pm,C,20.5
11/6/2022, 6:03:00 pm,C,20.5
11/6/2022, 6:18:00 pm,C,20.5
11/6/2022, 6:33:00 pm,C,20.5
11/6/2022, 6:48:00 pm,C,20.5
11/6/2022, 7:03:00 pm,C,20.5
11/6/2022, 7:18:00 pm,C,20.5
11/6/2022, 7:33:00 pm,C,20.5
11/6/2022, 7:48:00 pm,C,20.5
11/6/2022, 8:03:00 pm,C,20.5
11/6/2022, 8:18:00 pm,C,20.5
11/6/2022, 8:33:00 pm,C,20.5
11/6/2022, 8:48:00 pm,C,20.5
11/6/2022, 9:03:00 pm,C,20.5
11/6/2022, 9:18:00 pm,C,20.5
11/6/2022, 9:33:00 pm,C,20.5
11/6/2022, 9:48:00 pm,C,20.5
11/6/2022, 10:03:00 pm,C,20.5
11/6/2022, 10:18:00 pm,C,21
11/6/2022, 10:33:00 pm,C,20.5
11/6/2022, 10:48:00 pm,C,21
11/6/2022, 11:03:00 pm,C,20.5
11/6/2022, 11:18:00 pm,C,21
11/6/2022, 11:33:00 pm,C,21
11/6/2022, 11:48:00 pm,C,21
12/6/2022, 12:03:00 am,C,20.5
12/6/2022, 12:18:00 am,C,21
12/6/2022, 12:33:00 am,C,20.5
12/6/2022, 12:48:00 am,C,21
12/6/2022, 1:03:00 am,C,20.5
12/6/2022, 1:18:00 am,C,20.5
12/6/2022, 1:33:00 am,C,20.5
12/6/2022, 1:48:00 am,C,20.5
12/6/2022, 2:03:00 am,C,20.5
12/6/2022, 2:18:00 am,C,20.5
12/6/2022, 2:33:00 am,C,20.5
12/6/2022, 2:48:00 am,C,20.5
12/6/2022, 3:03:00 am,C,20.5
12/6/2022, 3:18:00 am,C,20.5
12/6/2022, 3:33:00 am,C,20.5
12/6/2022, 3:48:00 am,C,20.5
12/6/2022, 4:03:00 am,C,20.5
12/6/2022, 4:18:00 am,C,21
12/6/2022, 4:33:00 am,C,20.5
12/6/2022, 4:48:00 am,C,21
12/6/2022, 5:03:00 am,C,21
12/6/2022, 5:18:00 am,C,21.5
12/6/2022, 5:33:00 am,C,21.5
12/6/2022, 5:48:00 am,C,21.5
12/6/2022, 6:03:00 am,C,21.5
12/6/2022, 6:18:00 am,C,21.5
12/6/2022, 6:33:00 am,C,21.5
12/6/2022, 6:48:00 am,C,21.5
12/6/2022, 7:03:00 am,C,21.5
12/6/2022, 7:18:00 am,C,21
12/6/2022, 7:33:00 am,C,21
12/6/2022, 7:48:00 am,C,21
12/6/2022, 8:03:00 am,C,21
12/6/2022, 8:18:00 am,C,21
12/6/2022, 8:33:00 am,C,21
12/6/2022, 8:48:00 am,C,21
12/6/2022, 9:03:00 am,C,21
12/6/2022, 9:18:00 am,C,21
12/6/2022, 9:33:00 am,C,21
12/6/2022, 9:48:00 am,C,21
12/6/2022, 10:03:00 am,C,21
12/6/2022, 10:18:00 am,C,21
12/6/2022, 10:33:00 am,C,21
12/6/2022, 10:48:00 am,C,21
12/6/2022, 11:03:00 am,C,21
12/6/2022, 11:18:00 am,C,21
12/6/2022, 11:33:00 am,C,21
12/6/2022, 11:48:00 am,C,21
12/6/2022, 12:03:00 pm,C,21
12/6/2022, 12:18:00 pm,C,21
12/6/2022, 12:33:00 pm,C,21
12/6/2022, 12:48:00 pm,C,21
12/6/2022, 1:03:00 pm,C,21
12/6/2022, 1:18:00 pm,C,21
12/6/2022, 1:33:00 pm,C,21
12/6/2022, 1:48:00 pm,C,21
12/6/2022, 2:03:00 pm,C,21
12/6/2022, 2:18:00 pm,C,21
12/6/2022, 2:33:00 pm,C,21
12/6/2022, 2:48:00 pm,C,21
12/6/2022, 3:03:00 pm,C,21
12/6/2022, 3:18:00 pm,C,21
12/6/2022, 3:33:00 pm,C,21
12/6/2022, 3:48:00 pm,C,21
12/6/2022, 4:03:00 pm,C,21
12/6/2022, 4:18:00 pm,C,21
12/6/2022, 4:33:00 pm,C,21
12/6/2022, 4:48:00 pm,C,21
12/6/2022, 5:03:00 pm,C,21
12/6/2022, 5:18:00 pm,C,21
12/6/2022, 5:33:00 pm,C,21
12/6/2022, 5:48:00 pm,C,21
12/6/2022, 6:03:00 pm,C,21
12/6/2022, 6:18:00 pm,C,21
12/6/2022, 6:33:00 pm,C,21
12/6/2022, 6:48:00 pm,C,21
12/6/2022, 7:03:00 pm,C,21
12/6/2022, 7:18:00 pm,C,21
12/6/2022, 7:33:00 pm,C,21
12/6/2022, 7:48:00 pm,C,21
12/6/2022, 8:03:00 pm,C,21
12/6/2022, 8:18:00 pm,C,21
12/6/2022, 8:33:00 pm,C,21
12/6/2022, 8:48:00 pm,C,21
12/6/2022, 9:03:00 pm,C,21
12/6/2022, 9:18:00 pm,C,21
12/6/2022, 9:33:00 pm,C,21
12/6/2022, 9:48:00 pm,C,21
12/6/2022, 10:03:00 pm,C,21
12/6/2022, 10:18:00 pm,C,21
12/6/2022, 10:33:00 pm,C,21
12/6/2022, 10:48:00 pm,C,21
12/6/2022, 11:03:00 pm,C,21
12/6/2022, 11:18:00 pm,C,21
12/6/2022, 11:33:00 pm,C,21
12/6/2022, 11:48:00 pm,C,21
13/6/2022, 12:03:00 am,C,21
13/6/2022, 12:18:00 am,C,21
13/6/2022, 12:33:00 am,C,21
13/6/2022, 12:48:00 am,C,20.5
13/6/2022, 1:03:00 am,C,21
13/6/2022, 1:18:00 am,C,21
13/6/2022, 1:33:00 am,C,20.5
13/6/2022, 1:48:00 am,C,20.5
13/6/2022, 2:03:00 am,C,21
13/6/2022, 2:18:00 am,C,20.5
13/6/2022, 2:33:00 am,C,21
13/6/2022, 2:48:00 am,C,20.5
13/6/2022, 3:03:00 am,C,21
13/6/2022, 3:18:00 am,C,20.5
13/6/2022, 3:33:00 am,C,21
13/6/2022, 3:48:00 am,C,20.5
13/6/2022, 4:03:00 am,C,21
13/6/2022, 4:18:00 am,C,20.5
13/6/2022, 4:33:00 am,C,20.5
13/6/2022, 4:48:00 am,C,20.5
13/6/2022, 5:03:00 am,C,21
13/6/2022, 5:18:00 am,C,20.5
13/6/2022, 5:33:00 am,C,20.5
13/6/2022, 5:48:00 am,C,20.5
13/6/2022, 6:03:00 am,C,20.5
13/6/2022, 6:18:00 am,C,21
13/6/2022, 6:33:00 am,C,20.5
13/6/2022, 6:48:00 am,C,20.5
13/6/2022, 7:03:00 am,C,20.5
13/6/2022, 7:18:00 am,C,20.5
13/6/2022, 7:33:00 am,C,20.5
13/6/2022, 7:48:00 am,C,20.5
13/6/2022, 8:03:00 am,C,20.5
13/6/2022, 8:18:00 am,C,21
13/6/2022, 8:33:00 am,C,21
13/6/2022, 8:48:00 am,C,21
13/6/2022, 9:03:00 am,C,21
13/6/2022, 9:18:00 am,C,21
13/6/2022, 9:33:00 am,C,21
13/6/2022, 9:48:00 am,C,21
13/6/2022, 10:03:00 am,C,21
13/6/2022, 10:18:00 am,C,21
13/6/2022, 10:33:00 am,C,21
13/6/2022, 10:48:00 am,C,21
13/6/2022, 11:03:00 am,C,21
13/6/2022, 11:18:00 am,C,21
13/6/2022, 11:33:00 am,C,21
13/6/2022, 11:48:00 am,C,21
13/6/2022, 12:03:00 pm,C,21
13/6/2022, 12:18:00 pm,C,21
13/6/2022, 12:33:00 pm,C,21
13/6/2022, 12:48:00 pm,C,21
13/6/2022, 1:03:00 pm,C,21
13/6/2022, 1:18:00 pm,C,21
13/6/2022, 1:33:00 pm,C,21
13/6/2022, 1:48:00 pm,C,21
13/6/2022, 2:03:00 pm,C,21
13/6/2022, 2:18:00 pm,C,21
13/6/2022, 2:33:00 pm,C,21
13/6/2022, 2:48:00 pm,C,21
13/6/2022, 3:03:00 pm,C,21
13/6/2022, 3:18:00 pm,C,21
13/6/2022, 3:33:00 pm,C,21
13/6/2022, 3:48:00 pm,C,21
13/6/2022, 4:03:00 pm,C,21
13/6/2022, 4:18:00 pm,C,21
13/6/2022, 4:33:00 pm,C,21
13/6/2022, 4:48:00 pm,C,21
13/6/2022, 5:03:00 pm,C,21
13/6/2022, 5:18:00 pm,C,21
13/6/2022, 5:33:00 pm,C,21
13/6/2022, 5:48:00 pm,C,21
13/6/2022, 6:03:00 pm,C,21
13/6/2022, 6:18:00 pm,C,21
13/6/2022, 6:33:00 pm,C,21
13/6/2022, 6:48:00 pm,C,21
13/6/2022, 7:03:00 pm,C,21
13/6/2022, 7:18:00 pm,C,21
13/6/2022, 7:33:00 pm,C,21
13/6/2022, 7:48:00 pm,C,21
13/6/2022, 8:03:00 pm,C,21
13/6/2022, 8:18:00 pm,C,21
13/6/2022, 8:33:00 pm,C,21
13/6/2022, 8:48:00 pm,C,21
13/6/2022, 9:03:00 pm,C,21
13/6/2022, 9:18:00 pm,C,20.5
13/6/2022, 9:33:00 pm,C,21
13/6/2022, 9:48:00 pm,C,20.5
13/6/2022, 10:03:00 pm,C,21
13/6/2022, 10:18:00 pm,C,20.5
13/6/2022, 10:33:00 pm,C,20.5
13/6/2022, 10:48:00 pm,C,20.5
13/6/2022, 11:03:00 pm,C,20.5
13/6/2022, 11:18:00 pm,C,20.5
13/6/2022, 11:33:00 pm,C,20.5
13/6/2022, 11:48:00 pm,C,20.5
14/6/2022, 12:03:00 am,C,20.5
14/6/2022, 12:18:00 am,C,20.5
14/6/2022, 12:33:00 am,C,20.5
14/6/2022, 12:48:00 am,C,20.5
14/6/2022, 1:03:00 am,C,20.5
14/6/2022, 1:18:00 am,C,20.5
14/6/2022, 1:33:00 am,C,20.5
14/6/2022, 1:48:00 am,C,20.5
14/6/2022, 2:03:00 am,C,20.5
14/6/2022, 2:18:00 am,C,20.5
14/6/2022, 2:33:00 am,C,20.5
14/6/2022, 2:48:00 am,C,20.5
14/6/2022, 3:03:00 am,C,20.5
14/6/2022, 3:18:00 am,C,20.5
14/6/2022, 3:33:00 am,C,20.5
14/6/2022, 3:48:00 am,C,20.5
14/6/2022, 4:03:00 am,C,20.5
14/6/2022, 4:18:00 am,C,20.5
14/6/2022, 4:33:00 am,C,20.5
14/6/2022, 4:48:00 am,C,21
14/6/2022, 5:03:00 am,C,21
14/6/2022, 5:18:00 am,C,20.5
14/6/2022, 5:33:00 am,C,21
14/6/2022, 5:48:00 am,C,21
14/6/2022, 6:03:00 am,C,20.5
14/6/2022, 6:18:00 am,C,21
14/6/2022, 6:33:00 am,C,21
14/6/2022, 6:48:00 am,C,21
14/6/2022, 7:03:00 am,C,21
14/6/2022, 7:18:00 am,C,21
14/6/2022, 7:33:00 am,C,21
14/6/2022, 7:48:00 am,C,21
14/6/2022, 8:03:00 am,C,21
14/6/2022, 8:18:00 am,C,21
14/6/2022, 8:33:00 am,C,21
14/6/2022, 8:48:00 am,C,21
14/6/2022, 9:03:00 am,C,21
14/6/2022, 9:18:00 am,C,21
14/6/2022, 9:33:00 am,C,21
14/6/2022, 9:48:00 am,C,21
14/6/2022, 10:03:00 am,C,21
14/6/2022, 10:18:00 am,C,21
14/6/2022, 10:33:00 am,C,21
14/6/2022, 10:48:00 am,C,21
14/6/2022, 11:03:00 am,C,21
14/6/2022, 11:18:00 am,C,21
14/6/2022, 11:33:00 am,C,21
14/6/2022, 11:48:00 am,C,21
14/6/2022, 12:03:00 pm,C,21
14/6/2022, 12:18:00 pm,C,21
14/6/2022, 12:33:00 pm,C,21
14/6/2022, 12:48:00 pm,C,21
14/6/2022, 1:03:00 pm,C,21
14/6/2022, 1:18:00 pm,C,21
14/6/2022, 1:33:00 pm,C,21
14/6/2022, 1:48:00 pm,C,21
14/6/2022, 2:03:00 pm,C,21
14/6/2022, 2:18:00 pm,C,21
14/6/2022, 2:33:00 pm,C,21
14/6/2022, 2:48:00 pm,C,21
14/6/2022, 3:03:00 pm,C,21
14/6/2022, 3:18:00 pm,C,21
14/6/2022, 3:33:00 pm,C,20.5
14/6/2022, 3:48:00 pm,C,20.5
14/6/2022, 4:03:00 pm,C,20.5
14/6/2022, 4:18:00 pm,C,20.5
14/6/2022, 4:33:00 pm,C,20.5
14/6/2022, 4:48:00 pm,C,20.5
14/6/2022, 5:03:00 pm,C,20.5
14/6/2022, 5:18:00 pm,C,20.5
14/6/2022, 5:33:00 pm,C,20.5
14/6/2022, 5:48:00 pm,C,20.5
14/6/2022, 6:03:00 pm,C,20.5
14/6/2022, 6:18:00 pm,C,20.5
14/6/2022, 6:33:00 pm,C,20.5
14/6/2022, 6:48:00 pm,C,20.5
14/6/2022, 7:03:00 pm,C,20.5
14/6/2022, 7:18:00 pm,C,20.5
14/6/2022, 7:33:00 pm,C,20.5
14/6/2022, 7:48:00 pm,C,20.5
14/6/2022, 8:03:00 pm,C,20.5
14/6/2022, 8:18:00 pm,C,20.5
14/6/2022, 8:33:00 pm,C,20.5
14/6/2022, 8:48:00 pm,C,20.5
14/6/2022, 9:03:00 pm,C,20.5
14/6/2022, 9:18:00 pm,C,20.5
14/6/2022, 9:33:00 pm,C,20.5
14/6/2022, 9:48:00 pm,C,20.5
14/6/2022, 10:03:00 pm,C,20.5
14/6/2022, 10:18:00 pm,C,20.5
14/6/2022, 10:33:00 pm,C,20.5
14/6/2022, 10:48:00 pm,C,20.5
14/6/2022, 11:03:00 pm,C,20.5
14/6/2022, 11:18:00 pm,C,20.5
14/6/2022, 11:33:00 pm,C,20.5
14/6/2022, 11:48:00 pm,C,20.5
15/6/2022, 12:03:00 am,C,20.5
15/6/2022, 12:18:00 am,C,20.5
15/6/2022, 12:33:00 am,C,20.5
15/6/2022, 12:48:00 am,C,20.5
15/6/2022, 1:03:00 am,C,20.5
15/6/2022, 1:18:00 am,C,20.5
15/6/2022, 1:33:00 am,C,20.5
15/6/2022, 1:48:00 am,C,20.5
15/6/2022, 2:03:00 am,C,20.5
15/6/2022, 2:18:00 am,C,20.5
15/6/2022, 2:33:00 am,C,20.5
15/6/2022, 2:48:00 am,C,20.5
15/6/2022, 3:03:00 am,C,20.5
15/6/2022, 3:18:00 am,C,20.5
15/6/2022, 3:33:00 am,C,20.5
15/6/2022, 3:48:00 am,C,20.5
15/6/2022, 4:03:00 am,C,20.5
15/6/2022, 4:18:00 am,C,20.5
15/6/2022, 4:33:00 am,C,20.5
15/6/2022, 4:48:00 am,C,20.5
15/6/2022, 5:03:00 am,C,20.5
15/6/2022, 5:18:00 am,C,20.5
15/6/2022, 5:33:00 am,C,20.5
15/6/2022, 5:48:00 am,C,20.5
15/6/2022, 6:03:00 am,C,20.5
15/6/2022, 6:18:00 am,C,20.5
15/6/2022, 6:33:00 am,C,20.5
15/6/2022, 6:48:00 am,C,20.5
15/6/2022, 7:03:00 am,C,20.5
15/6/2022, 7:18:00 am,C,20.5
15/6/2022, 7:33:00 am,C,20.5
15/6/2022, 7:48:00 am,C,20.5
15/6/2022, 8:03:00 am,C,20.5
15/6/2022, 8:18:00 am,C,20.5
15/6/2022, 8:33:00 am,C,20.5
15/6/2022, 8:48:00 am,C,20.5
15/6/2022, 9:03:00 am,C,20.5
15/6/2022, 9:18:00 am,C,20.5
15/6/2022, 9:33:00 am,C,20.5
15/6/2022, 9:48:00 am,C,20.5
15/6/2022, 10:03:00 am,C,20.5
15/6/2022, 10:18:00 am,C,20.5
15/6/2022, 10:33:00 am,C,21
15/6/2022, 10:48:00 am,C,20.5
15/6/2022, 11:03:00 am,C,21
15/6/2022, 11:18:00 am,C,21
15/6/2022, 11:33:00 am,C,21
15/6/2022, 11:48:00 am,C,21
15/6/2022, 12:03:00 pm,C,21
15/6/2022, 12:18:00 pm,C,21
15/6/2022, 12:33:00 pm,C,21
15/6/2022, 12:48:00 pm,C,21
15/6/2022, 1:03:00 pm,C,21
15/6/2022, 1:18:00 pm,C,21
15/6/2022, 1:33:00 pm,C,21
15/6/2022, 1:48:00 pm,C,21
15/6/2022, 2:03:00 pm,C,21
15/6/2022, 2:18:00 pm,C,21
15/6/2022, 2:33:00 pm,C,21
15/6/2022, 2:48:00 pm,C,21
15/6/2022, 3:03:00 pm,C,21
15/6/2022, 3:18:00 pm,C,21
15/6/2022, 3:33:00 pm,C,21
15/6/2022, 3:48:00 pm,C,21
15/6/2022, 4:03:00 pm,C,21
15/6/2022, 4:18:00 pm,C,21
15/6/2022, 4:33:00 pm,C,21
15/6/2022, 4:48:00 pm,C,21
15/6/2022, 5:03:00 pm,C,21
15/6/2022, 5:18:00 pm,C,21
15/6/2022, 5:33:00 pm,C,21
15/6/2022, 5:48:00 pm,C,21
15/6/2022, 6:03:00 pm,C,21
15/6/2022, 6:18:00 pm,C,21
15/6/2022, 6:33:00 pm,C,21
15/6/2022, 6:48:00 pm,C,21
15/6/2022, 7:03:00 pm,C,21
15/6/2022, 7:18:00 pm,C,20.5
15/6/2022, 7:33:00 pm,C,20.5
15/6/2022, 7:48:00 pm,C,20.5
15/6/2022, 8:03:00 pm,C,20.5
15/6/2022, 8:18:00 pm,C,20.5
15/6/2022, 8:33:00 pm,C,20.5
15/6/2022, 8:48:00 pm,C,20.5
15/6/2022, 9:03:00 pm,C,20.5
15/6/2022, 9:18:00 pm,C,20.5
15/6/2022, 9:33:00 pm,C,20.5
15/6/2022, 9:48:00 pm,C,20.5
15/6/2022, 10:03:00 pm,C,20.5
15/6/2022, 10:18:00 pm,C,20.5
15/6/2022, 10:33:00 pm,C,20.5
15/6/2022, 10:48:00 pm,C,20.5
