1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8A0000005BFBE521
Is Mission Active?  true
Mission Start:  Thu Jun 02 17:52:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  3084
Total Samples:  8267
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/6/2022, 11:37:00 am,C,23
9/6/2022, 11:52:00 am,C,23
9/6/2022, 12:07:00 pm,C,23
9/6/2022, 12:22:00 pm,C,23
9/6/2022, 12:37:00 pm,C,23
9/6/2022, 12:52:00 pm,C,23
9/6/2022, 1:07:00 pm,C,23
9/6/2022, 1:22:00 pm,C,23
9/6/2022, 1:37:00 pm,C,23
9/6/2022, 1:52:00 pm,C,22.5
9/6/2022, 2:07:00 pm,C,23
9/6/2022, 2:22:00 pm,C,23
9/6/2022, 2:37:00 pm,C,23
9/6/2022, 2:52:00 pm,C,23
9/6/2022, 3:07:00 pm,C,23
9/6/2022, 3:22:00 pm,C,23
9/6/2022, 3:37:00 pm,C,23
9/6/2022, 3:52:00 pm,C,23
9/6/2022, 4:07:00 pm,C,23
9/6/2022, 4:22:00 pm,C,23
9/6/2022, 4:37:00 pm,C,23
9/6/2022, 4:52:00 pm,C,23
9/6/2022, 5:07:00 pm,C,22.5
9/6/2022, 5:22:00 pm,C,22.5
9/6/2022, 5:37:00 pm,C,23
9/6/2022, 5:52:00 pm,C,23
9/6/2022, 6:07:00 pm,C,22.5
9/6/2022, 6:22:00 pm,C,22.5
9/6/2022, 6:37:00 pm,C,23
9/6/2022, 6:52:00 pm,C,22.5
9/6/2022, 7:07:00 pm,C,22.5
9/6/2022, 7:22:00 pm,C,22.5
9/6/2022, 7:37:00 pm,C,22.5
9/6/2022, 7:52:00 pm,C,23
9/6/2022, 8:07:00 pm,C,22.5
9/6/2022, 8:22:00 pm,C,23
9/6/2022, 8:37:00 pm,C,22.5
9/6/2022, 8:52:00 pm,C,22.5
9/6/2022, 9:07:00 pm,C,22.5
9/6/2022, 9:22:00 pm,C,22.5
9/6/2022, 9:37:00 pm,C,22.5
9/6/2022, 9:52:00 pm,C,23
9/6/2022, 10:07:00 pm,C,23
9/6/2022, 10:22:00 pm,C,23
9/6/2022, 10:37:00 pm,C,23
9/6/2022, 10:52:00 pm,C,23
9/6/2022, 11:07:00 pm,C,23
9/6/2022, 11:22:00 pm,C,23
9/6/2022, 11:37:00 pm,C,23
9/6/2022, 11:52:00 pm,C,22.5
10/6/2022, 12:07:00 am,C,22
10/6/2022, 12:22:00 am,C,22
10/6/2022, 12:37:00 am,C,22
10/6/2022, 12:52:00 am,C,22
10/6/2022, 1:07:00 am,C,22
10/6/2022, 1:22:00 am,C,22
10/6/2022, 1:37:00 am,C,22.5
10/6/2022, 1:52:00 am,C,22.5
10/6/2022, 2:07:00 am,C,22
10/6/2022, 2:22:00 am,C,22
10/6/2022, 2:37:00 am,C,22.5
10/6/2022, 2:52:00 am,C,22.5
10/6/2022, 3:07:00 am,C,22.5
10/6/2022, 3:22:00 am,C,22.5
10/6/2022, 3:37:00 am,C,22.5
10/6/2022, 3:52:00 am,C,22.5
10/6/2022, 4:07:00 am,C,22
10/6/2022, 4:22:00 am,C,22.5
10/6/2022, 4:37:00 am,C,22.5
10/6/2022, 4:52:00 am,C,22.5
10/6/2022, 5:07:00 am,C,22.5
10/6/2022, 5:22:00 am,C,22.5
10/6/2022, 5:37:00 am,C,22.5
10/6/2022, 5:52:00 am,C,22.5
10/6/2022, 6:07:00 am,C,22.5
10/6/2022, 6:22:00 am,C,22.5
10/6/2022, 6:37:00 am,C,22.5
10/6/2022, 6:52:00 am,C,22.5
10/6/2022, 7:07:00 am,C,22.5
10/6/2022, 7:22:00 am,C,22.5
10/6/2022, 7:37:00 am,C,22.5
10/6/2022, 7:52:00 am,C,22.5
10/6/2022, 8:07:00 am,C,22.5
10/6/2022, 8:22:00 am,C,22.5
10/6/2022, 8:37:00 am,C,22.5
10/6/2022, 8:52:00 am,C,22.5
10/6/2022, 9:07:00 am,C,22.5
10/6/2022, 9:22:00 am,C,22.5
10/6/2022, 9:37:00 am,C,22.5
10/6/2022, 9:52:00 am,C,22.5
10/6/2022, 10:07:00 am,C,22.5
10/6/2022, 10:22:00 am,C,22.5
10/6/2022, 10:37:00 am,C,23
10/6/2022, 10:52:00 am,C,23
10/6/2022, 11:07:00 am,C,23
10/6/2022, 11:22:00 am,C,23
10/6/2022, 11:37:00 am,C,23
10/6/2022, 11:52:00 am,C,23
10/6/2022, 12:07:00 pm,C,23
10/6/2022, 12:22:00 pm,C,23
10/6/2022, 12:37:00 pm,C,23
10/6/2022, 12:52:00 pm,C,23
10/6/2022, 1:07:00 pm,C,23
10/6/2022, 1:22:00 pm,C,23
10/6/2022, 1:37:00 pm,C,23.5
10/6/2022, 1:52:00 pm,C,23.5
10/6/2022, 2:07:00 pm,C,23.5
10/6/2022, 2:22:00 pm,C,23.5
10/6/2022, 2:37:00 pm,C,23
10/6/2022, 2:52:00 pm,C,23
10/6/2022, 3:07:00 pm,C,23
10/6/2022, 3:22:00 pm,C,23
10/6/2022, 3:37:00 pm,C,22.5
10/6/2022, 3:52:00 pm,C,22.5
10/6/2022, 4:07:00 pm,C,22.5
10/6/2022, 4:22:00 pm,C,22.5
10/6/2022, 4:37:00 pm,C,22.5
10/6/2022, 4:52:00 pm,C,22.5
10/6/2022, 5:07:00 pm,C,22.5
10/6/2022, 5:22:00 pm,C,22.5
10/6/2022, 5:37:00 pm,C,22.5
10/6/2022, 5:52:00 pm,C,22.5
10/6/2022, 6:07:00 pm,C,22.5
10/6/2022, 6:22:00 pm,C,22.5
10/6/2022, 6:37:00 pm,C,23
10/6/2022, 6:52:00 pm,C,23
10/6/2022, 7:07:00 pm,C,23
10/6/2022, 7:22:00 pm,C,23
10/6/2022, 7:37:00 pm,C,23
10/6/2022, 7:52:00 pm,C,23
10/6/2022, 8:07:00 pm,C,22.5
10/6/2022, 8:22:00 pm,C,22.5
10/6/2022, 8:37:00 pm,C,22.5
10/6/2022, 8:52:00 pm,C,22.5
10/6/2022, 9:07:00 pm,C,22.5
10/6/2022, 9:22:00 pm,C,22.5
10/6/2022, 9:37:00 pm,C,22.5
10/6/2022, 9:52:00 pm,C,22.5
10/6/2022, 10:07:00 pm,C,22.5
10/6/2022, 10:22:00 pm,C,22.5
10/6/2022, 10:37:00 pm,C,22.5
10/6/2022, 10:52:00 pm,C,22.5
10/6/2022, 11:07:00 pm,C,22.5
10/6/2022, 11:22:00 pm,C,22.5
10/6/2022, 11:37:00 pm,C,22.5
10/6/2022, 11:52:00 pm,C,22.5
11/6/2022, 12:07:00 am,C,22.5
11/6/2022, 12:22:00 am,C,22.5
11/6/2022, 12:37:00 am,C,22.5
11/6/2022, 12:52:00 am,C,22.5
11/6/2022, 1:07:00 am,C,22.5
11/6/2022, 1:22:00 am,C,22.5
11/6/2022, 1:37:00 am,C,22.5
11/6/2022, 1:52:00 am,C,22.5
11/6/2022, 2:07:00 am,C,22.5
11/6/2022, 2:22:00 am,C,22.5
11/6/2022, 2:37:00 am,C,22.5
11/6/2022, 2:52:00 am,C,22.5
11/6/2022, 3:07:00 am,C,22.5
11/6/2022, 3:22:00 am,C,22.5
11/6/2022, 3:37:00 am,C,22.5
11/6/2022, 3:52:00 am,C,22.5
11/6/2022, 4:07:00 am,C,22.5
11/6/2022, 4:22:00 am,C,22.5
11/6/2022, 4:37:00 am,C,22.5
11/6/2022, 4:52:00 am,C,22.5
11/6/2022, 5:07:00 am,C,22.5
11/6/2022, 5:22:00 am,C,22.5
11/6/2022, 5:37:00 am,C,22.5
11/6/2022, 5:52:00 am,C,22.5
11/6/2022, 6:07:00 am,C,22.5
11/6/2022, 6:22:00 am,C,22.5
11/6/2022, 6:37:00 am,C,22.5
11/6/2022, 6:52:00 am,C,22.5
11/6/2022, 7:07:00 am,C,22.5
11/6/2022, 7:22:00 am,C,22.5
11/6/2022, 7:37:00 am,C,22.5
11/6/2022, 7:52:00 am,C,22.5
11/6/2022, 8:07:00 am,C,22.5
11/6/2022, 8:22:00 am,C,22.5
11/6/2022, 8:37:00 am,C,23
11/6/2022, 8:52:00 am,C,22.5
11/6/2022, 9:07:00 am,C,23
11/6/2022, 9:22:00 am,C,23
11/6/2022, 9:37:00 am,C,23
11/6/2022, 9:52:00 am,C,23
11/6/2022, 10:07:00 am,C,23
11/6/2022, 10:22:00 am,C,23
11/6/2022, 10:37:00 am,C,23
11/6/2022, 10:52:00 am,C,23
11/6/2022, 11:07:00 am,C,23
11/6/2022, 11:22:00 am,C,23
11/6/2022, 11:37:00 am,C,23.5
11/6/2022, 11:52:00 am,C,23.5
11/6/2022, 12:07:00 pm,C,23.5
11/6/2022, 12:22:00 pm,C,23.5
11/6/2022, 12:37:00 pm,C,23.5
11/6/2022, 12:52:00 pm,C,23.5
11/6/2022, 1:07:00 pm,C,23.5
11/6/2022, 1:22:00 pm,C,24
11/6/2022, 1:37:00 pm,C,24
11/6/2022, 1:52:00 pm,C,23.5
11/6/2022, 2:07:00 pm,C,23
11/6/2022, 2:22:00 pm,C,23
11/6/2022, 2:37:00 pm,C,23
11/6/2022, 2:52:00 pm,C,23
11/6/2022, 3:07:00 pm,C,23
11/6/2022, 3:22:00 pm,C,23
11/6/2022, 3:37:00 pm,C,23
11/6/2022, 3:52:00 pm,C,23
11/6/2022, 4:07:00 pm,C,23
11/6/2022, 4:22:00 pm,C,23
11/6/2022, 4:37:00 pm,C,22.5
11/6/2022, 4:52:00 pm,C,22.5
11/6/2022, 5:07:00 pm,C,22.5
11/6/2022, 5:22:00 pm,C,22.5
11/6/2022, 5:37:00 pm,C,22.5
11/6/2022, 5:52:00 pm,C,22.5
11/6/2022, 6:07:00 pm,C,22.5
11/6/2022, 6:22:00 pm,C,22
11/6/2022, 6:37:00 pm,C,22
11/6/2022, 6:52:00 pm,C,22
11/6/2022, 7:07:00 pm,C,22
11/6/2022, 7:22:00 pm,C,22
11/6/2022, 7:37:00 pm,C,22
11/6/2022, 7:52:00 pm,C,22
11/6/2022, 8:07:00 pm,C,22
11/6/2022, 8:22:00 pm,C,22
11/6/2022, 8:37:00 pm,C,22.5
11/6/2022, 8:52:00 pm,C,22.5
11/6/2022, 9:07:00 pm,C,22.5
11/6/2022, 9:22:00 pm,C,22.5
11/6/2022, 9:37:00 pm,C,23
11/6/2022, 9:52:00 pm,C,23
11/6/2022, 10:07:00 pm,C,23
11/6/2022, 10:22:00 pm,C,23
11/6/2022, 10:37:00 pm,C,23
11/6/2022, 10:52:00 pm,C,23
11/6/2022, 11:07:00 pm,C,23.5
11/6/2022, 11:22:00 pm,C,23.5
11/6/2022, 11:37:00 pm,C,23
11/6/2022, 11:52:00 pm,C,23
12/6/2022, 12:07:00 am,C,23
12/6/2022, 12:22:00 am,C,23.5
12/6/2022, 12:37:00 am,C,23
12/6/2022, 12:52:00 am,C,23
12/6/2022, 1:07:00 am,C,23.5
12/6/2022, 1:22:00 am,C,23
12/6/2022, 1:37:00 am,C,23
12/6/2022, 1:52:00 am,C,22.5
12/6/2022, 2:07:00 am,C,22.5
12/6/2022, 2:22:00 am,C,22.5
12/6/2022, 2:37:00 am,C,22.5
12/6/2022, 2:52:00 am,C,23
12/6/2022, 3:07:00 am,C,23
12/6/2022, 3:22:00 am,C,23
12/6/2022, 3:37:00 am,C,23
12/6/2022, 3:52:00 am,C,23.5
12/6/2022, 4:07:00 am,C,23.5
12/6/2022, 4:22:00 am,C,23.5
12/6/2022, 4:37:00 am,C,23.5
12/6/2022, 4:52:00 am,C,23.5
12/6/2022, 5:07:00 am,C,23.5
12/6/2022, 5:22:00 am,C,23.5
12/6/2022, 5:37:00 am,C,23
12/6/2022, 5:52:00 am,C,23.5
12/6/2022, 6:07:00 am,C,23
12/6/2022, 6:22:00 am,C,23
12/6/2022, 6:37:00 am,C,23
12/6/2022, 6:52:00 am,C,23
12/6/2022, 7:07:00 am,C,23
12/6/2022, 7:22:00 am,C,23.5
12/6/2022, 7:37:00 am,C,23.5
12/6/2022, 7:52:00 am,C,23.5
12/6/2022, 8:07:00 am,C,23.5
12/6/2022, 8:22:00 am,C,23.5
12/6/2022, 8:37:00 am,C,23.5
12/6/2022, 8:52:00 am,C,23.5
12/6/2022, 9:07:00 am,C,23.5
12/6/2022, 9:22:00 am,C,23.5
12/6/2022, 9:37:00 am,C,23.5
12/6/2022, 9:52:00 am,C,23.5
12/6/2022, 10:07:00 am,C,24
12/6/2022, 10:22:00 am,C,24
12/6/2022, 10:37:00 am,C,24
12/6/2022, 10:52:00 am,C,24
12/6/2022, 11:07:00 am,C,24
12/6/2022, 11:22:00 am,C,24
12/6/2022, 11:37:00 am,C,24
12/6/2022, 11:52:00 am,C,24
12/6/2022, 12:07:00 pm,C,24
12/6/2022, 12:22:00 pm,C,24
12/6/2022, 12:37:00 pm,C,24
12/6/2022, 12:52:00 pm,C,24
12/6/2022, 1:07:00 pm,C,24.5
12/6/2022, 1:22:00 pm,C,24.5
12/6/2022, 1:37:00 pm,C,24.5
12/6/2022, 1:52:00 pm,C,24.5
12/6/2022, 2:07:00 pm,C,24
12/6/2022, 2:22:00 pm,C,24
12/6/2022, 2:37:00 pm,C,24
12/6/2022, 2:52:00 pm,C,24
12/6/2022, 3:07:00 pm,C,24
12/6/2022, 3:22:00 pm,C,24
12/6/2022, 3:37:00 pm,C,23.5
12/6/2022, 3:52:00 pm,C,24
12/6/2022, 4:07:00 pm,C,24
12/6/2022, 4:22:00 pm,C,23.5
12/6/2022, 4:37:00 pm,C,23.5
12/6/2022, 4:52:00 pm,C,23.5
12/6/2022, 5:07:00 pm,C,23.5
12/6/2022, 5:22:00 pm,C,23.5
12/6/2022, 5:37:00 pm,C,23.5
12/6/2022, 5:52:00 pm,C,23.5
12/6/2022, 6:07:00 pm,C,23.5
12/6/2022, 6:22:00 pm,C,23.5
12/6/2022, 6:37:00 pm,C,23.5
12/6/2022, 6:52:00 pm,C,23.5
12/6/2022, 7:07:00 pm,C,23.5
12/6/2022, 7:22:00 pm,C,23.5
12/6/2022, 7:37:00 pm,C,23.5
12/6/2022, 7:52:00 pm,C,23.5
12/6/2022, 8:07:00 pm,C,23.5
12/6/2022, 8:22:00 pm,C,23
12/6/2022, 8:37:00 pm,C,23
12/6/2022, 8:52:00 pm,C,23
12/6/2022, 9:07:00 pm,C,23.5
12/6/2022, 9:22:00 pm,C,23.5
12/6/2022, 9:37:00 pm,C,23.5
12/6/2022, 9:52:00 pm,C,23.5
12/6/2022, 10:07:00 pm,C,23.5
12/6/2022, 10:22:00 pm,C,23
12/6/2022, 10:37:00 pm,C,23
12/6/2022, 10:52:00 pm,C,23
12/6/2022, 11:07:00 pm,C,23.5
12/6/2022, 11:22:00 pm,C,23.5
12/6/2022, 11:37:00 pm,C,23.5
12/6/2022, 11:52:00 pm,C,23.5
13/6/2022, 12:07:00 am,C,23.5
13/6/2022, 12:22:00 am,C,23
13/6/2022, 12:37:00 am,C,23
13/6/2022, 12:52:00 am,C,23
13/6/2022, 1:07:00 am,C,23
13/6/2022, 1:22:00 am,C,23
13/6/2022, 1:37:00 am,C,23
13/6/2022, 1:52:00 am,C,23
13/6/2022, 2:07:00 am,C,23.5
13/6/2022, 2:22:00 am,C,23
13/6/2022, 2:37:00 am,C,23
13/6/2022, 2:52:00 am,C,23
13/6/2022, 3:07:00 am,C,23.5
13/6/2022, 3:22:00 am,C,23.5
13/6/2022, 3:37:00 am,C,23.5
13/6/2022, 3:52:00 am,C,23.5
13/6/2022, 4:07:00 am,C,23.5
13/6/2022, 4:22:00 am,C,23.5
13/6/2022, 4:37:00 am,C,23.5
13/6/2022, 4:52:00 am,C,23.5
13/6/2022, 5:07:00 am,C,23
13/6/2022, 5:22:00 am,C,23.5
13/6/2022, 5:37:00 am,C,23.5
13/6/2022, 5:52:00 am,C,23.5
13/6/2022, 6:07:00 am,C,23
13/6/2022, 6:22:00 am,C,23
13/6/2022, 6:37:00 am,C,23
13/6/2022, 6:52:00 am,C,23.5
13/6/2022, 7:07:00 am,C,23.5
13/6/2022, 7:22:00 am,C,23.5
13/6/2022, 7:37:00 am,C,23.5
13/6/2022, 7:52:00 am,C,23.5
13/6/2022, 8:07:00 am,C,23.5
13/6/2022, 8:22:00 am,C,23.5
13/6/2022, 8:37:00 am,C,23.5
13/6/2022, 8:52:00 am,C,23.5
13/6/2022, 9:07:00 am,C,23.5
13/6/2022, 9:22:00 am,C,23.5
13/6/2022, 9:37:00 am,C,23.5
13/6/2022, 9:52:00 am,C,24
13/6/2022, 10:07:00 am,C,24
13/6/2022, 10:22:00 am,C,23.5
13/6/2022, 10:37:00 am,C,24
13/6/2022, 10:52:00 am,C,24
13/6/2022, 11:07:00 am,C,24
13/6/2022, 11:22:00 am,C,24
13/6/2022, 11:37:00 am,C,23.5
13/6/2022, 11:52:00 am,C,23.5
13/6/2022, 12:07:00 pm,C,24
13/6/2022, 12:22:00 pm,C,24
13/6/2022, 12:37:00 pm,C,24
13/6/2022, 12:52:00 pm,C,24.5
13/6/2022, 1:07:00 pm,C,24.5
13/6/2022, 1:22:00 pm,C,24.5
13/6/2022, 1:37:00 pm,C,24.5
13/6/2022, 1:52:00 pm,C,24.5
13/6/2022, 2:07:00 pm,C,24.5
13/6/2022, 2:22:00 pm,C,24.5
13/6/2022, 2:37:00 pm,C,24
13/6/2022, 2:52:00 pm,C,24
13/6/2022, 3:07:00 pm,C,24
13/6/2022, 3:22:00 pm,C,24
13/6/2022, 3:37:00 pm,C,24
13/6/2022, 3:52:00 pm,C,24
13/6/2022, 4:07:00 pm,C,24
13/6/2022, 4:22:00 pm,C,24
13/6/2022, 4:37:00 pm,C,24
13/6/2022, 4:52:00 pm,C,24
13/6/2022, 5:07:00 pm,C,24
13/6/2022, 5:22:00 pm,C,24
13/6/2022, 5:37:00 pm,C,24
